"Article","Views","Users","ViewsUser","ViewsΔ%"
"copilot/using-github-copilot/ai-models/changing-the-ai-model-for-copilot-code-completion","17510","12680","1.38",""
"copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-chat-in-github-mobile","17108","12326","1.39","171.6"
"copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-chat-in-github","16712","13393","1.25","119.55"
"rest/copilot/copilot-usage","16361","7370","2.22","37.26"
"copilot/using-github-copilot/asking-github-copilot-questions-in-github","15788","12213","1.29","-63.43"
"copilot/managing-copilot/configuring-and-auditing-content-exclusion/excluding-content-from-github-copilot","15302","10390","1.47","32.4"
"copilot/using-github-copilot","14562","11579","1.26","20.98"
"copilot/example-prompts-for-github-copilot-chat","13891","10448","1.33","-72.71"
"copilot/troubleshooting-github-copilot/troubleshooting-common-issues-with-github-copilot","13087","10787","1.21","76.04"
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-your-github-copilot-pro-subscription/canceling-copilot-pro-as-an-individual-user","13068","10727","1.22","2.73"
"copilot/building-copilot-extensions/about-building-copilot-extensions","12895","8529","1.51","47.27"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/configuring-your-proxy-server-or-firewall-for-copilot","12702","8425","1.51","21.61"
"copilot/using-github-copilot/copilot-chat/asking-github-copilot-questions-in-github-mobile","12394","10617","1.17",""
"copilot/using-github-copilot/using-github-copilot-for-pull-requests/creating-a-pull-request-summary-with-github-copilot","11996","9183","1.31","47.62"
"copilot/using-github-copilot/finding-public-code-that-matches-github-copilot-suggestions","11710","8843","1.32","42.89"
"copilot/using-github-copilot/code-review/configuring-coding-guidelines","11638","7648","1.52","109.58"
"copilot/managing-copilot/configure-personal-settings/configuring-network-settings-for-github-copilot","11416","7608","1.5","27.23"
"copilot/using-github-copilot/using-github-copilot-for-pull-requests/using-copilot-to-help-you-work-on-a-pull-request","11404","8686","1.31","72.89"
"rest/copilot","11361","8122","1.4","30.17"
"copilot/using-github-copilot/prompt-engineering-for-github-copilot","9677","7079","1.37","-60.02"
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-your-github-copilot-pro-subscription/subscribing-to-copilot-pro-as-an-individual-user","9441","7955","1.19","3.83"
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-your-github-copilot-pro-subscription/about-billing-for-copilot-pro","8829","7559","1.17","31.89"
"copilot/using-github-copilot/copilot-chat/github-copilot-chat-cheat-sheet","8746","6196","1.41",""
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-the-copilot-subscription-for-your-organization/subscribing-to-copilot-for-your-organization","8638","6531","1.32","16.49"
"copilot/customizing-copilot/adding-custom-instructions-for-github-copilot","8140","5212","1.56","-53.58"
"copilot/using-github-copilot/guides-on-using-github-copilot/writing-tests-with-github-copilot","8096","6376","1.27","29.97"
"copilot/building-copilot-extensions/quickstart-for-github-copilot-extensions-using-agents","8013","6036","1.33","201.58"
"rest/copilot/copilot-user-management","7705","3875","1.99","25.92"
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-your-github-copilot-pro-subscription/canceling-your-copilot-pro-trial-as-an-individual-user","7410","6334","1.17","9.13"
"copilot/using-github-copilot/guides-on-using-github-copilot/refactoring-code-with-github-copilot","7345","5771","1.27","-5.29"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-access-to-github-copilot-in-your-organization/granting-access-to-copilot-for-members-of-your-organization","6869","5101","1.35","14.25"
"copilot/customizing-copilot/creating-a-custom-model-for-github-copilot","6842","4769","1.43","8.72"
"copilot/troubleshooting-github-copilot/troubleshooting-firewall-settings-for-github-copilot","6689","5042","1.33","13.32"
"copilot/managing-copilot/configure-personal-settings/using-github-copilot-with-an-account-on-ghecom","6642","5079","1.31","83.94"
"copilot/troubleshooting-github-copilot/troubleshooting-network-errors-for-github-copilot","6432","4465","1.44","34.31"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/reviewing-activity-related-to-github-copilot-in-your-organization/reviewing-user-activity-data-for-copilot-in-your-organization","6388","4732","1.35","24.18"
"copilot/building-copilot-extensions/setting-up-copilot-extensions","6163","4669","1.32","123.78"
"copilot/managing-copilot/configure-personal-settings/configuring-github-copilot-in-the-cli","6043","4636","1.3","31.57"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-the-copilot-subscription-for-your-enterprise/about-billing-for-github-copilot-in-your-enterprise","5998","4790","1.25","26.78"
"copilot/customizing-copilot/managing-copilot-knowledge-bases","5978","3934","1.52","21.06"
"copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-pull-request-summaries","5967","4522","1.32","42.82"
"copilot/using-github-copilot/asking-github-copilot-questions-in-github-mobile","5934","5109","1.16","-59.28"
"copilot/using-github-copilot/copilot-chat/getting-started-with-prompts-for-copilot-chat","5925","4365","1.36",""
"copilot/customizing-copilot/extending-the-capabilities-of-github-copilot-in-your-organization","5806","4798","1.21","25.37"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-policies-and-features-for-copilot-in-your-enterprise","5713","3956","1.44","95.72"
"copilot/copilot-chat-cookbook/testing-code/generate-unit-tests","5525","4318","1.28",""
"copilot/using-github-copilot/code-review/configuring-automatic-code-review-by-copilot","5482","4120","1.33",""
"copilot/building-copilot-extensions/building-a-copilot-agent-for-your-copilot-extension/configuring-your-copilot-agent-to-communicate-with-the-copilot-platform","4995","3679","1.36","119.37"
"copilot/using-github-copilot/asking-github-copilot-questions-in-windows-terminal","4916","4050","1.21","31.94"
"copilot/copilot-chat-cookbook/refactoring-code/improving-code-readability-and-maintainability","4889","3691","1.32",""
"copilot/using-github-copilot/copilot-chat/indexing-repositories-for-copilot-chat","4657","3233","1.44",""
"copilot/customizing-copilot/adding-personal-custom-instructions-for-github-copilot","4446","3210","1.39",""
"copilot/rolling-out-github-copilot-at-scale/analyzing-usage-over-time-with-the-copilot-metrics-api","4438","2959","1.5","101.91"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-the-copilot-subscription-for-your-organization/about-billing-for-github-copilot-in-your-organization","4189","3337","1.26","9.95"
"copilot/troubleshooting-github-copilot/viewing-logs-for-github-copilot-in-your-environment","4000","2680","1.49","44.72"
"copilot/building-copilot-extensions/building-a-copilot-agent-for-your-copilot-extension/using-copilots-llm-for-your-agent","3802","2838","1.34","48.46"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-the-copilot-subscription-for-your-enterprise/subscribing-to-copilot-for-your-enterprise","3625","2737","1.32","14.79"
"copilot/troubleshooting-github-copilot/troubleshooting-issues-with-github-copilot-chat-in-ides","3520","2943","1.2","2.15"
"copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-code-review","3494","2912","1.2","57.74"
"copilot/setting-up-github-copilot/setting-up-github-copilot-for-your-enterprise","3460","2711","1.28","20.64"
"copilot/building-copilot-extensions/building-a-copilot-agent-for-your-copilot-extension/configuring-your-copilot-agent-to-communicate-with-github","3416","2440","1.4","78.85"
"copilot/building-copilot-extensions","3393","2928","1.16","7.68"
"copilot/about-github-copilot","3364","2805","1.2","9.43"
"get-started/exploring-projects-on-github/using-github-copilot-to-explore-projects","3259","2892","1.13","12.61"
"code-security/secret-scanning/copilot-secret-scanning/responsible-ai-generic-secrets","3060","2669","1.15","-2.02"
"copilot/rolling-out-github-copilot-at-scale/driving-copilot-adoption-in-your-company","2955","2288","1.29","52.16"
"site-policy/github-terms/github-copilot-extension-developer-policy","2898","2462","1.18","-5.29"
"copilot/setting-up-github-copilot","2878","2592","1.11","16.24"
"copilot/copilot-chat-cookbook/debugging-errors/debugging-invalid-json","2799","2338","1.2",""
"copilot/using-github-copilot/indexing-repositories-for-copilot-chat","2767","1986","1.39","-66.92"
"copilot/using-github-copilot/ai-models","2623","2187","1.2",""
"copilot/using-github-copilot/using-claude-sonnet-in-github-copilot","2604","1986","1.31","-95.88"
"copilot/using-github-copilot/github-copilot-chat-cheat-sheet","2532","1983","1.28",""
"get-started/learning-to-code/learning-to-debug-with-github-copilot","2457","2222","1.11","3265.75"
"copilot/copilot-chat-cookbook/debugging-errors/handling-api-rate-limits","2440","2034","1.2",""
"copilot/building-copilot-extensions/creating-a-copilot-extension/configuring-your-server-to-host-your-copilot-extension","2325","1457","1.6","58.27"
"copilot/building-copilot-extensions/building-a-copilot-skillset-for-your-copilot-extension/about-copilot-skillsets","2321","1659","1.4","31.28"
"copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-in-the-cli","2313","1917","1.21","24.09"
"copilot/using-github-copilot/using-copilot-text-completion","2198","1809","1.22","58.02"
"copilot/using-github-copilot/guides-on-using-github-copilot/getting-started-with-prompts-for-copilot-chat","2177","1700","1.28","-57.46"
"copilot/example-prompts-for-github-copilot-chat/testing-code/generate-unit-tests","2157","1726","1.25","-70.35"
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/extending-the-capabilities-of-github-copilot-in-your-personal-account","2149","1865","1.15","24.29"
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-your-github-copilot-pro-subscription/modifying-your-copilot-pro-subscription-as-an-individual-user","2147","1897","1.13","13.12"
"copilot/building-copilot-extensions/building-a-copilot-agent-for-your-copilot-extension","2058","1695","1.21","124.92"
"copilot/building-copilot-extensions/creating-a-copilot-extension/creating-a-github-app-for-your-copilot-extension","2034","1361","1.49","37.9"
"admin/copilot-business-only/about-enterprise-accounts-for-copilot-business","2027","1406","1.44","16.83"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-access-to-github-copilot-in-your-organization","1975","1869","1.06","-0.8"
"support/contacting-github-support/using-copilot-in-github-support","1970","1592","1.24","1.91"
"copilot/building-copilot-extensions/creating-a-copilot-extension/configuring-your-github-app-for-your-copilot-extension","1942","1272","1.53","44.82"
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-your-github-copilot-pro-subscription","1908","1683","1.13","14.73"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/improving-code-readability-and-maintainability","1898","1437","1.32","-71.01"
"copilot/troubleshooting-github-copilot","1814","1579","1.15","16.06"
"copilot/using-github-copilot/guides-on-using-github-copilot/using-copilot-to-migrate-a-project","1662","1252","1.33",""
"copilot/managing-copilot","1636","1366","1.2","25.36"
"copilot/building-copilot-extensions/building-a-copilot-skillset-for-your-copilot-extension/building-copilot-skillsets","1635","1184","1.38","75.81"
"copilot/troubleshooting-github-copilot/troubleshooting-issues-with-github-copilot-chat","1603","1339","1.2",""
"copilot/copilot-chat-cookbook/functionality-analysis-and-feature-suggestions/exploring-potential-feature-implementations","1562","1213","1.29",""
"copilot/managing-copilot/managing-github-copilot-in-your-organization/reviewing-activity-related-to-github-copilot-in-your-organization/reviewing-audit-logs-for-copilot-business","1525","1200","1.27","24.8"
"copilot/copilot-chat-cookbook/documenting-code/documenting-legacy-code","1504","1207","1.25",""
"copilot/rolling-out-github-copilot-at-scale/reminding-inactive-users","1502","1135","1.32",""
"copilot/using-github-copilot/copilot-chat","1486","1211","1.23",""
"copilot/copilot-chat-cookbook/refactoring-code/refactoring-for-performance-optimization","1470","1199","1.23",""
"copilot/copilot-chat-cookbook/security-analysis/finding-existing-vulnerabilities-in-code","1442","1205","1.2",""
"copilot/copilot-chat-cookbook/refactoring-code/refactoring-to-implement-a-design-pattern","1412","1158","1.22",""
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-access-to-copilot-in-your-enterprise/viewing-copilot-license-usage-in-your-enterprise","1378","1178","1.17","15.9"
"codespaces/reference/using-github-copilot-in-github-codespaces","1350","1163","1.16","-3.78"
"copilot/copilot-chat-cookbook/testing-code/create-end-to-end-tests-for-a-webpage","1286","1030","1.25",""
"copilot/copilot-chat-cookbook/refactoring-code/fixing-lint-errors","1271","1023","1.24",""
"copilot/managing-copilot/configure-personal-settings","1243","1068","1.16","19.63"
"billing/managing-billing-for-your-products/managing-billing-for-github-copilot","1205","1071","1.13","5.15"
"copilot/building-copilot-extensions/managing-the-availability-of-your-copilot-extension","1171","934","1.25","0.69"
"copilot/example-prompts-for-github-copilot-chat/debugging-errors/debugging-invalid-json","1170","964","1.21","-71.41"
"copilot/managing-copilot/configuring-and-auditing-content-exclusion/reviewing-changes-to-content-exclusions-for-github-copilot","1146","933","1.23","20.63"
"copilot/copilot-chat-cookbook/documenting-code/explaining-legacy-code","1120","941","1.19",""
"copilot/customizing-copilot","1109","919","1.21","26.31"
"admin/copilot-business-only/setting-up-a-dedicated-enterprise-for-copilot-business-managed-users","1103","655","1.68","11.75"
"copilot/using-github-copilot/code-review","1075","930","1.16","83.76"
"support/learning-about-github-support/about-copilot-in-github-support","1032","913","1.13","-4.18"
"copilot/copilot-chat-cookbook/testing-code/create-mock-objects-to-abstract-layers","1028","836","1.23",""
"copilot/using-github-copilot/guides-on-using-github-copilot","1025","868","1.18","38.7"
"copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-text-completion","1020","853","1.2","20.14"
"copilot/building-copilot-extensions/building-a-copilot-agent-for-your-copilot-extension/context-passing-for-your-agent","1019","816","1.25",""
"copilot/managing-copilot/managing-copilot-as-an-individual-subscriber","1004","917","1.09","12.56"
"copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-in-windows-terminal","1000","842","1.19","20.19"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-access-to-github-copilot-in-your-organization/managing-github-copilot-access-to-your-organizations-network","994","775","1.28","-10.05"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-access-to-copilot-in-your-enterprise/managing-github-copilot-access-to-your-enterprises-network","978","732","1.34","-11.57"
"copilot/building-copilot-extensions/debugging-your-github-copilot-extension","978","836","1.17","15.47"
"copilot/building-copilot-extensions/creating-a-copilot-extension","976","603","1.62","63.21"
"copilot/copilot-chat-cookbook/documenting-code/explaining-complex-algorithms-or-logic","971","782","1.24",""
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-access-to-copilot-in-your-enterprise/enabling-copilot-for-organizations-in-your-enterprise","950","759","1.25","12.69"
"copilot/copilot-chat-cookbook/refactoring-code/decoupling-business-logic-from-ui-components","924","797","1.16",""
"copilot/building-copilot-extensions/copilot-extensions-glossary","919","752","1.22","-3.87"
"copilot/copilot-chat-cookbook/refactoring-code/refactoring-data-access-layers","881","716","1.23",""
"copilot/copilot-chat-cookbook/refactoring-code/translating-code-to-a-different-programming-language","880","761","1.16",""
"copilot/copilot-chat-cookbook/documenting-code/syncing-documentation-with-code-changes","879","742","1.18",""
"copilot/using-github-copilot/using-github-copilot-for-pull-requests","870","742","1.17","33.23"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-access-to-github-copilot-in-your-organization/revoking-access-to-copilot-for-members-of-your-organization","835","683","1.22","11.78"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-the-copilot-subscription-for-your-organization/canceling-copilot-for-your-organization","808","685","1.18","-1.46"
"copilot/example-prompts-for-github-copilot-chat/debugging-errors/handling-api-rate-limits","786","692","1.14","-71.99"
"admin/enforcing-policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-github-copilot-in-your-enterprise","782","676","1.16","10.3"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-access-to-github-copilot-in-your-organization/managing-requests-for-copilot-business-in-your-organization","775","652","1.19","9.77"
"copilot/copilot-chat-cookbook/functionality-analysis-and-feature-suggestions/analyzing-and-incorporating-user-feedback","729","600","1.22",""
"admin/copilot-business-only/setting-up-a-dedicated-enterprise-for-copilot-business-personal-accounts","680","528","1.29","18.88"
"actions/monitoring-and-troubleshooting-workflows/troubleshooting-workflows/using-copilot-to-troubleshoot-workflows","679","572","1.19","165.23"
"copilot/managing-copilot/managing-github-copilot-in-your-organization","678","542","1.25","29.64"
"copilot/copilot-chat-cookbook/refactoring-code/fixing-database-deadlocks-or-data-integrity-issues","656","569","1.15",""
"code-security/secret-scanning/copilot-secret-scanning/responsible-ai-regex-generator","651","589","1.11","7.96"
"copilot/copilot-chat-cookbook/refactoring-code/handling-cross-cutting-concerns","617","546","1.13",""
"copilot/responsible-use-of-github-copilot-features","611","505","1.21","22.2"
"copilot/rolling-out-github-copilot-at-scale/setting-up-a-self-serve-process-for-github-copilot-licenses","604","495","1.22",""
"copilot/building-copilot-extensions/using-oidc-with-github-copilot-extensions","590","446","1.32",""
"copilot/example-prompts-for-github-copilot-chat/functionality-analysis-and-feature-suggestions/exploring-potential-feature-implementations","573","467","1.23","-68.36"
"copilot/example-prompts-for-github-copilot-chat/documenting-code/documenting-legacy-code","566","470","1.2","-73.71"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/refactoring-to-implement-a-design-pattern","563","458","1.23","-68.9"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-the-copilot-subscription-for-your-enterprise","557","442","1.26","17.26"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/refactoring-for-performance-optimization","532","431","1.23","-71.84"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/fixing-lint-errors","515","410","1.26","-64.34"
"copilot/copilot-chat-cookbook/refactoring-code/simplifying-complex-inheritance-hierarchies","515","453","1.14",""
"code-security/secret-scanning/copilot-secret-scanning","512","459","1.12","-2.29"
"copilot/example-prompts-for-github-copilot-chat/security-analysis/finding-existing-vulnerabilities-in-code","510","418","1.22","-68.4"
"copilot/managing-copilot/managing-copilot-for-your-enterprise","510","438","1.16","13.59"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-the-copilot-subscription-for-your-organization","493","413","1.19","11.04"
"copilot/rolling-out-github-copilot-at-scale","486","440","1.1","16.55"
"copilot/copilot-chat-cookbook/refactoring-code","480","370","1.3",""
"copilot/example-prompts-for-github-copilot-chat/testing-code/create-end-to-end-tests-for-a-webpage","462","370","1.25","-69.1"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-access-to-copilot-in-your-enterprise/disabling-copilot-for-organizations-in-your-enterprise","458","402","1.14","-21.03"
"copilot/building-copilot-extensions/copilot-extensions-faq","404","333","1.21",""
"copilot/example-prompts-for-github-copilot-chat/testing-code/create-mock-objects-to-abstract-layers","396","328","1.21","-66.07"
"copilot/example-prompts-for-github-copilot-chat/documenting-code/explaining-legacy-code","375","323","1.16","-75.08"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/decoupling-business-logic-from-ui-components","369","316","1.17","-64.99"
"copilot/copilot-chat-cookbook/documenting-code","367","306","1.2",""
"copilot/example-prompts-for-github-copilot-chat/documenting-code/explaining-complex-algorithms-or-logic","364","311","1.17","-69.44"
"copilot/managing-copilot/configuring-and-auditing-content-exclusion","341","283","1.2","11.44"
"copilot/example-prompts-for-github-copilot-chat/documenting-code/syncing-documentation-with-code-changes","331","280","1.18","-66.93"
"code-security/secret-scanning/copilot-secret-scanning/enabling-ai-powered-generic-secret-detection","321","278","1.15","-15.53"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/refactoring-data-access-layers","321","274","1.17","-73.54"
"copilot/copilot-chat-cookbook/testing-code","318","264","1.2",""
"copilot/example-prompts-for-github-copilot-chat/functionality-analysis-and-feature-suggestions/analyzing-and-incorporating-user-feedback","297","240","1.24","-66.17"
"copilot/managing-copilot/managing-github-copilot-in-your-organization/reviewing-activity-related-to-github-copilot-in-your-organization","283","255","1.11","23.04"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-the-copilot-subscription-for-your-enterprise/upgrading-copilot-for-your-enterprise","282","240","1.18","9.73"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code","279","189","1.48","-44.86"
"copilot/building-copilot-extensions/building-a-copilot-skillset-for-your-copilot-extension","269","235","1.14","11.16"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/fixing-database-deadlocks-or-data-integrity-issues","267","214","1.25","-67.36"
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/handling-cross-cutting-concerns","255","220","1.16","-68.05"
"admin/copilot-business-only","202","165","1.22","12.22"
"code-security/secret-scanning/copilot-secret-scanning/generating-regular-expressions-for-custom-patterns-with-copilot-secret-scanning","202","176","1.15","14.77"
"copilot/copilot-chat-cookbook/debugging-errors","201","185","1.09",""
"copilot/example-prompts-for-github-copilot-chat/refactoring-code/simplifying-complex-inheritance-hierarchies","195","163","1.2","-69.86"
"admin/managing-accounts-and-repositories/managing-organizations-in-your-enterprise/managing-requests-for-copilot-business-from-organizations-in-your-enterprise","185","168","1.1","19.35"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-access-to-copilot-in-your-enterprise","182","163","1.12","-5.21"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-the-copilot-subscription-for-your-enterprise/canceling-copilot-for-your-enterprise","168","151","1.11","1.82"
"copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-the-copilot-subscription-for-your-enterprise/downgrading-copilot-for-your-enterprise","138","127","1.09","-36.41"
"copilot/copilot-chat-cookbook/functionality-analysis-and-feature-suggestions","128","118","1.08",""
"copilot/copilot-chat-cookbook/security-analysis","127","120","1.06",""
"copilot/example-prompts-for-github-copilot-chat/documenting-code","125","105","1.19","-69.95"
"copilot/example-prompts-for-github-copilot-chat/testing-code","118","91","1.3","-57.71"
"copilot/example-prompts-for-github-copilot-chat/debugging-errors","85","78","1.09","-64.88"
"early-access/copilot/user-level-feature-engagement-metrics-api","84","50","1.68",""
"copilot/example-prompts-for-github-copilot-chat/security-analysis","66","59","1.12","-61.18"
"early-access/copilot/github-copilot-extensibility-platform-partnership-plugin-acceptable-development-and-use-policy","62","46","1.35","0"
"copilot/example-prompts-for-github-copilot-chat/functionality-analysis-and-feature-suggestions","57","53","1.08","-65.66"
"copilot/using-github-copilot/using-github-copilot-code-suggestions-in-your-editor","33","26","1.27","37.5"
"copilot/using-github-copilot/getting-started-with-github-copilot","21","11","1.91","-60.38"
"copilot/github-copilot-in-the-cli/about-github-copilot-in-the-cli","13","1","13",""
